iso3,year,Predicted_In_Need,Predicted_Requirements,Predicted_Funding,iso3_original,Funding_Gap,Risk_Flag
LBN,2028,6432454.0,532057600.0,0.0,AFG | ZWE | VEN | UKR | BEN | BDI | LSO | LBR | LBY | MLI | MOZ | MMR | NER | NGA | EGY | ETH | PSE | PAK | PHL | RWA | SLE | SOM | SSD | SDN | SYR | TZA | TGO | TUR | UGA | YEM | ZMB |  | BGD | AGO | BFA | CMR | CAF | TCD | DJI | PRK | COD | COL | ECU | HTI | IRN | IRQ | JOR | KEN | LBN,532057600.0,True
LBN,2027,6432454.0,532057600.0,0.0,AFG | ZWE | VEN | UKR | BEN | BDI | LSO | LBR | LBY | MLI | MOZ | MMR | NER | NGA | EGY | ETH | PSE | PAK | PHL | RWA | SLE | SOM | SSD | SDN | SYR | TZA | TGO | TUR | UGA | YEM | ZMB |  | BGD | AGO | BFA | CMR | CAF | TCD | DJI | PRK | COD | COL | ECU | HTI | IRN | IRQ | JOR | KEN | LBN,532057600.0,True
LBN,2026,6432454.0,532057600.0,0.0,AFG | ZWE | VEN | UKR | BEN | BDI | LSO | LBR | LBY | MLI | MOZ | MMR | NER | NGA | EGY | ETH | PSE | PAK | PHL | RWA | SLE | SOM | SSD | SDN | SYR | TZA | TGO | TUR | UGA | YEM | ZMB |  | BGD | AGO | BFA | CMR | CAF | TCD | DJI | PRK | COD | COL | ECU | HTI | IRN | IRQ | JOR | KEN | LBN,532057600.0,True
AFG,2030,6432454.0,532057600.0,0.0,AFG |  |  |  |  |  |  |  | ,532057600.0,True
AFG,2029,6432454.0,532057600.0,0.0,AFG |  |  |  |  |  |  |  | ,532057600.0,True
AFG,2028,6432454.0,532057600.0,0.0,AFG |  |  |  |  |  |  |  | ,532057600.0,True
MOZ,2026,6432454.0,532057600.0,0.0,MOZ |  |  | ,532057600.0,True
EST,2030,6432454.0,532057600.0,0.0,SVK | POL | ROU | BGR | LVA | HUN | LTU | CZE | MDA | EST,532057600.0,True
EST,2029,6432454.0,532057600.0,0.0,SVK | POL | ROU | BGR | LVA | HUN | LTU | CZE | MDA | EST,532057600.0,True
EST,2028,6432454.0,532057600.0,0.0,SVK | POL | ROU | BGR | LVA | HUN | LTU | CZE | MDA | EST,532057600.0,True
EST,2027,6432454.0,532057600.0,0.0,SVK | POL | ROU | BGR | LVA | HUN | LTU | CZE | MDA | EST,532057600.0,True
EST,2026,6432454.0,532057600.0,0.0,SVK | POL | ROU | BGR | LVA | HUN | LTU | CZE | MDA | EST,532057600.0,True
LVA,2030,6432454.0,532057600.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,532057600.0,True
LVA,2029,6432454.0,532057600.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,532057600.0,True
LVA,2028,6432454.0,532057600.0,0.0,SVK | POL | CZE | EST | BGR | HUN | MDA | ROU | LTU | LVA,532057600.0,True
TGO,2028,6432454.0,532057600.0,0.0,TGO,532057600.0,True
TGO,2027,6432454.0,532057600.0,0.0,TGO,532057600.0,True
TGO,2026,6432454.0,532057600.0,0.0,TGO,532057600.0,True
GNB,2030,6432454.0,532057600.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,532057600.0,True
GNB,2029,6432454.0,532057600.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,532057600.0,True
NIC,2027,6432454.0,532057600.0,0.0,NIC,532057600.0,True
GNB,2027,6432454.0,532057600.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,532057600.0,True
GNB,2026,6432454.0,532057600.0,0.0,MLI | NER | SEN | TGO | BFA | MRT | GNB,532057600.0,True
PAN,2030,6432454.0,532057600.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,532057600.0,True
PAN,2029,6432454.0,532057600.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,532057600.0,True
PAN,2028,6432454.0,532057600.0,0.0,MEX | PER | TTO | ABW | BOL | ARG | CRI | DOM | ECU | COL | BRA | CHL | CUW | GUY | PRY | URY | PAN,532057600.0,True
EGY,2029,6432454.0,532057600.0,0.0,LBY | NER | TUN | EGY,532057600.0,True
EGY,2028,6432454.0,532057600.0,0.0,LBY | NER | TUN | EGY,532057600.0,True
PRY,2029,6432454.0,532057600.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,532057600.0,True
PRY,2028,6432454.0,532057600.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,532057600.0,True
PRY,2027,6432454.0,532057600.0,0.0,MEX | ECU | BRA | COL | DOM | ARG | CRI | PER | GUY | ABW | TTO | CHL | CUW | URY | PAN | PRY,532057600.0,True
PAK,2029,6432454.0,532057600.0,0.0,IRN | TJK | UZB | TKM | PAK,532057600.0,True
TGO,2030,6432454.0,532057600.0,0.0,TGO,532057600.0,True
TGO,2029,6432454.0,532057600.0,0.0,TGO,532057600.0,True
